CaseNbr	Category	latitude	longitude	time
1303522	SERVICE	34.019983	-118.282509	735488.666667
1303549	SERVICE	34.021765	-118.282861	735490.386111
1303553	SERVICE	34.023991	-118.286299	735490.582639
1303568	SERVICE	34.019122	-118.290751	735491.093750
1303605	SERVICE	34.022181	-118.284466	735493.354167
1303631	BATTERY	34.027060	-118.279760	735493.784722
1303644	SERVICE	34.062052	-118.201433	735494.499306
1303679	SERVICE	34.022408	-118.291014	735496.411111
1303724	SERVICE	34.062580	-118.202705	735497.640972
1303734	SERVICE	34.019122	-118.290751	735498.188194
1303750	BATTERY	34.026400	-118.278300	735499.048611
1303098	PROPERTY	34.020407	-118.282071	735465.312500
1303106	PROPERTY	34.027390	-118.280440	735466.000694
1303130	BURGLARY	34.025646	-118.296234	735467.364583
1303249	PROPERTY	34.019464	-118.284161	735474.596528
1303253	THEFT-GRAND AUTO	34.021983	-118.276993	735474.371528
1303273	THEFT-GRAND AUTO	34.065498	-118.201246	735475.444444
1303322	BURGLARY	34.019293	-118.294743	735479.593750
1303355	ROBBERY	34.025038	-118.277997	735481.055556
1303411	BURGLARY	34.032928	-118.276850	735483.354167
1303511	BURGLARY	34.032937	-118.290652	735487.875000
1303513	PROPERTY	34.027060	-118.279760	735488.069444
1303555	BURGLARY	34.027339	-118.273240	735490.083333
1303622	BURGLARY	34.027339	-118.273240	735493.542361
1303636	BURGLARY	34.033050	-118.281630	735493.770833
1303638	ROBBERY	34.025646	-118.296234	735493.986111
1303668	BURGLARY	34.025182	-118.282720	735495.583333
1303680	BURGLARY	34.021737	-118.294053	735495.916667
1303692	PROPERTY	34.022896	-118.295925	735495.958333
1303760	THEFT-GRAND AUTO	0.000000	-0.000000	735500.036806
1303770	PROPERTY	34.062052	-118.201433	735498.875000
1303851	BURGLARY	34.027500	-118.289180	735506.013889
1303880	BURGLARY	34.024165	-118.279171	735507.984722
1303906	PROPERTY	0.000000	-0.000000	735509.430556
1304027	BURGLARY	34.021153	-118.283985	735516.479167
1304051	BURGLARY	34.030056	-118.287565	735517.840278
1304087	ROBBERY	34.025524	-118.287581	735519.047222
1304291	PROPERTY	34.018303	-118.283409	735529.861111
1401314	PROPERTY	34.025646	-118.296234	735693.666667
1401345	PROPERTY	34.018665	-118.286794	735697.989583
1401404	PROPERTY	34.021475	-118.282179	735701.750000
1401409	PROPERTY	34.019742	-118.277213	735701.979167
1401422	PROPERTY	34.025182	-118.282720	735702.729167
1401443	PROPERTY	34.024268	-118.287553	735703.892361
1401447	PROPERTY	34.019871	-118.286099	735704.229167
1401491	PROPERTY	34.021103	-118.281659	735708.056250
1401499	FIRE	34.023218	-118.289656	735708.824306
1401501	TRESPASS	34.024044	-118.285626	735708.761111
1401514	TRESPASS	34.018718	-118.284338	735710.375000
1401519	PROPERTY	34.022408	-118.291014	735710.770833
1401523	PROPERTY	34.022181	-118.284466	735710.895833
1401556	PROPERTY	34.062052	-118.201433	735712.256944
1401593	PROPERTY	34.019500	-118.280089	735714.607639
1401636	PROPERTY	34.020598	-118.286592	735710.829861
1401637	PROPERTY	34.020289	-118.290330	735717.302083
1401651	FIRE	34.066581	-118.196010	735718.590278
1401664	PROPERTY	34.020598	-118.286592	735719.774306
1401673	PROPERTY	34.021945	-118.283807	735719.916667
1401686	PROPERTY	34.020598	-118.286592	735720.738194
1401757	TRESPASS	34.028150	-118.282340	735724.791667
1401759	PROPERTY	0.000000	-0.000000	735725.114583
1401786	PROPERTY	34.032928	-118.276850	735726.611111
1401830	TRESPASS	34.019162	-118.285562	735729.618056
1401854	TRESPASS	34.027339	-118.273240	735731.798611
1203553	SERVICE	34.020965	-118.285538	735140.500000
1203560	SERVICE	34.022083	-118.281584	735140.656250
1203569	SERVICE	34.024630	-118.285635	735141.015972
1203586	SERVICE	34.016651	-118.255271	735142.107639
1203604	SERVICE	34.023991	-118.286299	735143.354167
1203607	SERVICE	34.023211	-118.294439	735143.468056
1203622	SERVICE	0.000000	-0.000000	735144.714583
1203632	SERVICE	34.022408	-118.291014	735145.397222
1203649	SERVICE	34.021103	-118.281659	735145.829861
1203656	SERVICE	34.022334	-118.282518	735146.479167
1203680	SERVICE	34.062052	-118.201433	735147.541667
1203719	SERVICE	34.028540	-118.282420	735149.002778
1203748	SERVICE	34.021111	-118.284830	735151.376389
1203750	SERVICE	34.060919	-118.204889	735151.378472
1203757	SERVICE	34.028259	-118.291689	735151.565972
1203761	SERVICE	34.061416	-118.204854	735150.756944
1203791	SERVICE	34.021111	-118.284830	735153.767361
1203801	SERVICE	34.027902	-118.278795	735154.375000
1203805	SERVICE	34.027920	-118.281650	735021.478472
1203835	SERVICE	34.021935	-118.280085	735155.937500
1203853	SERVICE	34.025646	-118.296234	735157.003472
